number,name,status
1,PEP Purpose and Guidelines,Active
202,List Comprehensions,Final
201,Lockstep Iteration,Final
103,Collecting information about git,Withdrawn
200,Python 2.0 Release Schedule,Final
160,Python 1.6 Release Schedule,Final
102,Doing Python Micro Releases,Superseded
100,Python Unicode Integration,Final
101,Doing Python Releases 101,Active
10,Voting Guidelines,Active
42,Feature Requests,Withdrawn
9,Sample Plaintext PEP Template,Withdrawn
11,CPython platform support,Active
20,The Zen of Python,Active
12,Sample reStructuredText PEP Template,Active
13,Python Language Governance,Active
8104,2023 Term Steering Council election,Informational
8016,The Steering Council Model,Accepted
8100,January 2019 Steering Council election,Final
8101,2020 Term Steering Council election,Informational
8102,2021 Term Steering Council election,Informational
8103,2022 Term Steering Council election,Informational
8015,Organization of the Python community,Rejected
8014,The Commons Governance Model,Rejected
8013,The External Council Governance Model,Rejected
8000,Python Language Governance Proposal Overview,Final
8010,The Technical Leader Governance Model,Rejected
8001,Python Governance Voting Process,Final
8011,Python Governance Model Lead by Trio of Pythonistas,Rejected
8012,The Community Governance Model,Rejected
3333,Python Web Server Gateway Interface v1.0.1,Informational
8002,Open Source Governance Survey,Final
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,Final
3154,Pickle protocol version 4,Final
3155,Qualified name for classes and functions,Final
3153,Asynchronous IO support,Superseded
3152,Cofunctions,Rejected
3150,Statement local namespaces (aka “given” clause),Deferred
3151,Reworking the OS and IO exception hierarchy,Standards Track
3149,ABI version tagged .so files,Final
3148,futures - execute computations asynchronously,Final
3146,Merging Unladen Swallow into CPython,Withdrawn
3145,Asynchronous I/O For subprocess.Popen,Withdrawn
3147,PYC Repository Directories,Final
3144,IP Address Manipulation Library for the Python Standard Library,Final
3143,Standard daemon process library,Deferred
3142,Add a “while” clause to generator expressions,Rejected
3141,A Type Hierarchy for Numbers,Final
3140,"str(container) should call str(item), not repr(item)",Standards Track
3136,Labeled break and continue,Rejected
3139,Cleaning out sys and the “interpreter” module,Rejected
3138,String representation in Python 3000,Final
3137,Immutable Bytes and Mutable Buffer,Final
3135,New Super,Final
3133,Introducing Roles,Rejected
3131,Supporting Non-ASCII Identifiers,Final
3134,Exception Chaining and Embedded Tracebacks,Final
3130,Access to Current Module/Class/Function,Rejected
3132,Extended Iterable Unpacking,Final
3129,Class Decorators,Final
3128,BList: A Faster List-like Type,Standards Track
3126,Remove Implicit String Concatenation,Rejected
3127,Integer Literal Support and Syntax,Standards Track
3125,Remove Backslash Continuation,Rejected
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",Standards Track
3122,Delineation of the main module,Rejected
3121,Extension Module Initialization and Finalization,Accepted
3123,Making PyObject_HEAD conform to standard C,Final
3120,Using UTF-8 as the default source encoding,Final
3118,Revising the buffer protocol,Final
3119,Introducing Abstract Base Classes,Final
3114,Renaming iterator.next() to iterator.__next__(),Final
3115,Metaclasses in Python 3000,Final
3116,New I/O,Final
3117,Postfix type declarations,Rejected
3112,Bytes literals in Python 3000,Final
3113,Removal of Tuple Parameter Unpacking,Final
3111,Simple input built-in in Python 3000,Final
3109,Raising Exceptions in Python 3000,Final
3110,Catching Exceptions in Python 3000,Final
3108,Standard Library Reorganization,Final
3107,Function Annotations,Final
3106,"Revamping dict.keys(), .values() and .items()",Final
3105,Make print a function,Final
3102,Keyword-Only Arguments,Final
3104,Access to Names in Outer Scopes,Final
3101,Advanced String Formatting,Final
3103,A Switch/Case Statement,Rejected
3100,Miscellaneous Python 3.0 Plans,Final
3099,Things that will Not Change in Python 3000,Final
3003,Python Language Moratorium,Final
3001,Procedure for reviewing and improving standard library modules,Withdrawn
3000,Python 3000,Final
3002,Procedure for Backwards-Incompatible Changes,Final
801,Reserved,Active
754,IEEE 754 Floating Point Special Values,Rejected
709,Inlined comprehensions,Draft
706,Filter for tarfile.extractall,Standards Track
707,A simplified signature for __exit__ and __aexit__,Standards Track
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,Draft
704,Require virtual environments by default for package installers,Standards Track
705,TypedMapping: Type Hints for Mappings with a Fixed Set of Keys,Draft
702,Marking deprecations using the type system,Standards Track
703,Making the Global Interpreter Lock Optional in CPython,Draft
701,Syntactic formalization of f-strings,Standards Track
700,Additional Fields for the Simple API for Package Indexes,Accepted
699,Remove private dict version field added in PEP 509,Standards Track
698,Override Decorator for Static Typing,Accepted
697,Limited C API for Extending Opaque Types,Standards Track
696,Type defaults for TypeVarLikes,Draft
695,Type Parameter Syntax,Draft
694,Upload 2.0 API for Python Package Repositories,Standards Track
693,Python 3.12 Release Schedule,Active
692,Using TypedDict for more precise **kwargs typing,Accepted
691,JSON-based Simple API for Python Package Indexes,Accepted
690,Lazy Imports,Rejected
684,A Per-Interpreter GIL,Standards Track
688,Making the buffer protocol accessible in Python,Standards Track
687,Isolating modules in the standard library,Standards Track
689,Unstable C API tier,Standards Track
686,Make UTF-8 mode default,Standards Track
685,Comparison of extra names for optional distribution dependencies,Accepted
683,"Immortal Objects, Using a Fixed Refcount",Standards Track
680,tomllib: Support for Parsing TOML in the Standard Library,Accepted
682,Format Specifier for Signed Zero,Standards Track
681,Data Class Transforms,Accepted
679,Allow parentheses in assert statements,Standards Track
678,Enriching Exceptions with Notes,Accepted
677,Callable Type Syntax,Rejected
675,Arbitrary Literal String Type,Accepted
676,PEP Infrastructure Process,Process
674,Disallow using macros as l-values,Deferred
672,Unicode-related Security Considerations for Python,Active
671,Syntax for late-bound function argument defaults,Standards Track
664,Python 3.11 Release Schedule,Active
670,Convert macros to functions in the Python C API,Final
669,Low Impact Monitoring for CPython,Draft
668,Marking Python base environments as “externally managed”,Accepted
667,Consistent views of namespaces,Draft
666,Reject Foolish Indentation,Rejected
663,"Standardizing Enum str(), repr(), and format() behaviors",Informational
665,A file format to list Python dependencies for reproducibility of an application,Rejected
673,Self Type,Accepted
662,Editable installs via virtual wheels,Rejected
660,Editable installs for pyproject.toml based builds (wheel based),Final
661,Sentinel Values,Standards Track
659,Specializing Adaptive Interpreter,Draft
658,Serve Distribution Metadata in the Simple Repository API,Standards Track
657,Include Fine Grained Error Locations in Tracebacks,Standards Track
654,Exception Groups and except*,Accepted
655,Marking individual TypedDict items as required or potentially-missing,Accepted
653,Precise Semantics for Pattern Matching,Draft
656,Platform Tag for Linux Distributions Using Musl,Standards Track
651,Robust Stack Overflow Handling,Rejected
652,Maintaining the Stable ABI,Standards Track
648,Extensible customizations of the interpreter at startup,Rejected
647,User-Defined Type Guards,Accepted
650,Specifying Installer Requirements for Python Projects,Standards Track
649,Deferred Evaluation Of Annotations Using Descriptors,Draft
646,Variadic Generics,Standards Track
644,Require OpenSSL 1.1.1 or newer,Standards Track
645,Allow writing optional types as ,Standards Track
643,Metadata for Package Source Distributions,Final
641,Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected
640,Unused variable syntax,Rejected
636,Structural Pattern Matching: Tutorial,Informational
639,Improving License Clarity with Better Package Metadata,Draft
637,Support for indexing with keyword arguments,Rejected
642,Explicit Pattern Syntax for Structural Pattern Matching,Rejected
635,Structural Pattern Matching: Motivation and Rationale,Final
638,Syntactic Macros,Standards Track
634,Structural Pattern Matching: Specification,Accepted
632,Deprecate distutils module,Standards Track
633,Dependency specification in pyproject.toml using an exploded TOML table,Rejected
631,Dependency specification in pyproject.toml based on PEP 508,Superseded
630,Isolating Extension Modules,Informational
628,Add ,Final
629,Versioning PyPI’s Simple API,Final
627,Recording installed projects,Final
626,Precise line numbers for debugging and other tools.,Standards Track
625,Filename of a Source Distribution,Accepted
621,Storing project metadata in pyproject.toml,Standards Track
620,Hide implementation details from the C API,Withdrawn
624,Remove Py_UNICODE encoder APIs,Final
623,Remove wstr from Unicode,Final
622,Structural Pattern Matching,Superseded
619,Python 3.10 Release Schedule,Active
616,String methods to remove prefixes and suffixes,Standards Track
618,Add Optional Length-Checking To zip,Final
615,Support for the IANA Time Zone Database in the Standard Library,Standards Track
617,New PEG parser for CPython,Standards Track
614,Relaxing Grammar Restrictions On Decorators,Standards Track
613,Explicit Type Aliases,Accepted
612,Parameter Specification Variables,Standards Track
607,Reducing CPython’s Feature Delivery Latency,Informational
611,The one million limit,Withdrawn
609,Python Packaging Authority (PyPA) Governance,Active
608,Coordinated Python release,Rejected
610,Recording the Direct URL Origin of installed distributions,Standards Track
604,Allow writing union types as ,Standards Track
602,Annual Release Cycle for Python,Accepted
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,Standards Track
603,Adding a frozenmap type to collections,Standards Track
605,A rolling feature release stream for CPython,Informational
